already-tested LR combos: 5
remaining untested combos to try: 1600
[139] LR_20260709_080841 f1_up=0.5475 | C=6.453e-01 solver=lbfgs | elapsed=603s
[140] LR_20260709_080844 f1_up=0.5482 | C=4.851e-04 solver=liblinear | elapsed=608s
[141] LR_20260709_080849 f1_up=0.5475 | C=1.062e+01 solver=lbfgs | elapsed=611s
[142] LR_20260709_080852 f1_up=0.5476 | C=8.809e-01 solver=lbfgs | elapsed=614s
[143] LR_20260709_080855 f1_up=0.5481 | C=1.832e-02 solver=lbfgs | elapsed=618s
[144] LR_20260709_080859 f1_up=0.5475 | C=1.227e-01 solver=lbfgs | elapsed=621s
[145] LR_20260709_080902 f1_up=0.5475 | C=1.012e+00 solver=lbfgs | elapsed=624s
[146] LR_20260709_080905 f1_up=0.5477 | C=1.471e+02 solver=liblinear | elapsed=632s
[147] LR_20260709_080913 f1_up=0.5475 | C=1.480e+00 solver=lbfgs | elapsed=635s
[148] LR_20260709_080916 f1_up=0.5483 | C=2.190e-04 solver=liblinear | elapsed=640s
[149] LR_20260709_080921 f1_up=0.5482 | C=1.248e-07 solver=liblinear | elapsed=643s
[150] LR_20260709_080924 f1_up=0.5483 | C=2.465e-03 solver=lbfgs | elapsed=646s
[151] LR_20260709_080927 f1_up=0.5482 | C=8.197e-06 solver=lbfgs | elapsed=648s
[152] LR_20260709_080929 f1_up=0.5482 | C=5.603e-06 solver=lbfgs | elapsed=650s
[153] LR_20260709_080931 f1_up=0.5475 | C=2.422e+03 solver=lbfgs | elapsed=653s
[154] LR_20260709_080934 f1_up=0.5478 | C=2.003e-03 solver=liblinear | elapsed=660s
[155] LR_20260709_080941 f1_up=0.5483 | C=2.515e-04 solver=liblinear | elapsed=665s
[156] LR_20260709_080946 f1_up=0.5475 | C=1.000e+04 solver=lbfgs | elapsed=669s
[157] LR_20260709_080950 f1_up=0.5477 | C=2.955e+00 solver=liblinear | elapsed=678s
[158] LR_20260709_081000 f1_up=0.5475 | C=1.289e+00 solver=lbfgs | elapsed=683s
[159] LR_20260709_081004 f1_up=0.5477 | C=4.298e+02 solver=liblinear | elapsed=694s
[160] LR_20260709_081015 f1_up=0.5477 | C=1.203e+00 solver=liblinear | elapsed=704s
[161] LR_20260709_081025 f1_up=0.5484 | C=6.397e-04 solver=lbfgs | elapsed=708s
[162] LR_20260709_081029 f1_up=0.5477 | C=9.577e+00 solver=liblinear | elapsed=718s
[163] LR_20260709_081039 f1_up=0.5483 | C=3.830e-06 solver=liblinear | elapsed=722s
[164] LR_20260709_081043 f1_up=0.5475 | C=3.689e+01 solver=lbfgs | elapsed=726s
[165] LR_20260709_081047 f1_up=0.5481 | C=1.694e-05 solver=liblinear | elapsed=730s
[166] LR_20260709_081051 f1_up=0.5477 | C=2.855e+00 solver=liblinear | elapsed=738s
[167] LR_20260709_081100 f1_up=0.5475 | C=8.056e+00 solver=lbfgs | elapsed=742s
[168] LR_20260709_081103 f1_up=0.5477 | C=6.585e-02 solver=liblinear | elapsed=750s
[169] LR_20260709_081111 f1_up=0.5483 | C=1.259e-04 solver=liblinear | elapsed=755s
[170] LR_20260709_081116 f1_up=0.5483 | C=4.373e-04 solver=liblinear | elapsed=760s
[171] LR_20260709_081121 f1_up=0.5482 | C=1.267e-06 solver=liblinear | elapsed=763s
[172] LR_20260709_081124 f1_up=0.5477 | C=3.564e+01 solver=liblinear | elapsed=771s
[173] LR_20260709_081132 f1_up=0.5482 | C=2.327e-07 solver=liblinear | elapsed=774s
[174] LR_20260709_081135 f1_up=0.5484 | C=9.359e-04 solver=lbfgs | elapsed=776s
[175] LR_20260709_081137 f1_up=0.5480 | C=1.252e-02 solver=liblinear | elapsed=784s
[176] LR_20260709_081145 f1_up=0.5475 | C=3.231e-01 solver=lbfgs | elapsed=787s
[177] LR_20260709_081148 f1_up=0.5483 | C=2.429e-04 solver=lbfgs | elapsed=789s
[178] LR_20260709_081150 f1_up=0.5482 | C=3.523e-07 solver=liblinear | elapsed=792s
[179] LR_20260709_081153 f1_up=0.5477 | C=4.386e+01 solver=liblinear | elapsed=801s
[180] LR_20260709_081202 f1_up=0.5475 | C=3.307e+03 solver=lbfgs | elapsed=804s
[181] LR_20260709_081205 f1_up=0.5481 | C=2.235e-05 solver=liblinear | elapsed=808s
[182] LR_20260709_081209 f1_up=0.5481 | C=5.851e-03 solver=lbfgs | elapsed=812s
[183] LR_20260709_081213 f1_up=0.5481 | C=7.453e-03 solver=lbfgs | elapsed=815s
[184] LR_20260709_081216 f1_up=0.5475 | C=5.475e+02 solver=lbfgs | elapsed=819s
[185] LR_20260709_081220 f1_up=0.5478 | C=8.683e-02 solver=liblinear | elapsed=828s
[186] LR_20260709_081229 f1_up=0.5488 | C=2.947e-05 solver=liblinear | elapsed=833s
[187] LR_20260709_081234 f1_up=0.5475 | C=1.430e+00 solver=lbfgs | elapsed=836s
[188] LR_20260709_081238 f1_up=0.5478 | C=2.381e-03 solver=liblinear | elapsed=843s
[189] LR_20260709_081244 f1_up=0.5478 | C=2.734e-03 solver=lbfgs | elapsed=846s
[190] LR_20260709_081247 f1_up=0.5482 | C=4.398e-06 solver=lbfgs | elapsed=849s
[191] LR_20260709_081250 f1_up=0.5483 | C=3.131e-08 solver=lbfgs | elapsed=851s
[192] LR_20260709_081252 f1_up=0.5483 | C=3.131e-08 solver=liblinear | elapsed=854s
[193] LR_20260709_081255 f1_up=0.5475 | C=1.361e-01 solver=lbfgs | elapsed=857s
[194] LR_20260709_081258 f1_up=0.5477 | C=4.011e+02 solver=liblinear | elapsed=866s
[195] LR_20260709_081307 f1_up=0.5482 | C=1.125e-07 solver=lbfgs | elapsed=869s
[196] LR_20260709_081310 f1_up=0.5483 | C=3.942e-04 solver=lbfgs | elapsed=871s
[197] LR_20260709_081312 f1_up=0.5476 | C=4.659e-02 solver=lbfgs | elapsed=875s
[198] LR_20260709_081316 f1_up=0.5477 | C=3.875e+02 solver=liblinear | elapsed=885s
[199] LR_20260709_081326 f1_up=0.5475 | C=1.020e+03 solver=lbfgs | elapsed=889s
[200] LR_20260709_081330 f1_up=0.5481 | C=1.090e-02 solver=liblinear | elapsed=896s
[201] LR_20260709_081338 f1_up=0.5481 | C=2.500e-02 solver=lbfgs | elapsed=901s
[202] LR_20260709_081343 f1_up=0.5483 | C=2.921e-08 solver=lbfgs | elapsed=904s
