index,C,solver,cv_f1_up_mean,cv_f1_up_std,cv_precision_up_mean,cv_recall_up_mean,cv_f1_up_folds_json,seconds,dataset_fingerprint,status,error
24,1.41253754462,liblinear,0.4169557724304167,0.05982222616221004,0.41862354384962996,0.42690792619038265,"[0.49145999230758275, 0.4702738017461543, 0.36830068975692526, 0.3326577312847336, 0.42208664705668736]",6.96,4c2259e97b3f,ok,
25,0.707945784384,lbfgs,0.4169028583216578,0.0596841931719077,0.4186718011092461,0.42681056970832393,"[0.49134957959241843, 0.4701289834206581, 0.3687385841589639, 0.3326790543487743, 0.42161809008747414]",2.542,4c2259e97b3f,ok,
26,0.707945784384,liblinear,0.4169278281141147,0.05981238090276994,0.41858626312008607,0.4268936618017727,"[0.4914889677079327, 0.47017252130534193, 0.3682405016599041, 0.33268681761719004, 0.42205033228020483]",7.175,4c2259e97b3f,ok,
27,1.49623565609,lbfgs,0.416891223148432,0.05966163855648854,0.4186563891532541,0.4268091310720338,"[0.49133656312339696, 0.47006961245602835, 0.3687890920496688, 0.3326790543487743, 0.42158179376429167]",2.495,4c2259e97b3f,ok,
28,1.49623565609,liblinear,0.41694875088114414,0.0598145019585599,0.41861984875465746,0.42689513192221484,"[0.49142401276426007, 0.4702738017461543, 0.3682938974236025, 0.3326577312847336, 0.42209431118697]",6.918,4c2259e97b3f,ok,
29,0.668343917569,lbfgs,0.41690122056970996,0.0596793553255951,0.41867851324808186,0.42679777544015607,"[0.49133458753776865, 0.4701289834206581, 0.36874538745387453, 0.3326790543487743, 0.42161809008747414]",2.511,4c2259e97b3f,ok,
30,0.668343917569,liblinear,0.41694066950482034,0.05982404312018258,0.41860075050088785,0.42690645606994054,"[0.4915389436499345, 0.4701795020266358, 0.3682405016599041, 0.33269406790742273, 0.42205033228020483]",7.138,4c2259e97b3f,ok,
31,1.58489319246,lbfgs,0.4168968961633162,0.059671005999396634,0.41865688294953235,0.4268219253402016,"[0.4913795560115129, 0.4700626354380028, 0.3687890920496688, 0.3326790543487743, 0.4215741429686224]",2.513,4c2259e97b3f,ok,
32,1.58489319246,liblinear,0.4169501093478087,0.05981339699381161,0.4186231663517489,0.42689513192221484,"[0.49142401276426007, 0.4702738017461543, 0.36830068975692526, 0.3326577312847336, 0.42209431118697]",6.804,4c2259e97b3f,ok,
33,0.63095734448,lbfgs,0.4169124141737727,0.05968873999548929,0.4186877586231634,0.4268109737887274,"[0.49139159683028333, 0.47009929793834326, 0.36874538745387453, 0.3326790543487743, 0.42164673429758814]",2.515,4c2259e97b3f,ok,
34,0.63095734448,liblinear,0.41693479126983746,0.059811115647632404,0.41860166528672105,0.4268936618017727,"[0.49149596877581836, 0.4701795020266358, 0.3682540853591058, 0.33269406790742273, 0.42205033228020483]",7.116,4c2259e97b3f,ok,
35,1.67880401812,lbfgs,0.4168982915669213,0.059672249329961895,0.4186590534278173,0.4268219253402016,"[0.4913795560115129, 0.47006961245602835, 0.3687890920496688, 0.3326790543487743, 0.4215741429686224]",2.497,4c2259e97b3f,ok,
