index,n_estimators,max_depth,min_samples_leaf,max_features,f1_up_mean,f1_up_std,precision_up_mean,recall_up_mean,seconds
83,80,6,80,sqrt,0.45177574505791124,0.04739005909426733,0.42341258009155897,0.49450250828889486,30.48
84,100,6,100,sqrt,0.4527944836811926,0.0476890177207552,0.4237980930176189,0.4968820076718714,38.15
85,120,4,80,0.3,0.4493710129513877,0.049402889971259724,0.421815827221162,0.4933849659415829,41.25
86,120,5,100,0.5,0.45120916691150087,0.04682958381004402,0.4222604119363963,0.4963817561230409,73.45
87,150,4,100,0.4,0.448937566088631,0.048157280837165854,0.4205145641575072,0.49397901838475666,68.92
88,80,6,80,log2,0.45177574505791124,0.04739005909426733,0.42341258009155897,0.49450250828889486,32.25
89,120,4,80,log2,0.44799264118534765,0.05067976391675198,0.4215873592940885,0.49091052319130746,36.2
90,120,4,80,0.7,0.44974183776965565,0.04815100088654974,0.4180538639656219,0.4985353699623283,83.9
91,100,6,100,0.5,0.4523138107448319,0.04581326212697382,0.4251107645958928,0.49441559436514915,71.47
92,150,4,100,sqrt,0.44801248516739667,0.050450333012991705,0.42112093075327167,0.49142521857112803,43.64
93,120,5,100,sqrt,0.4501082932765156,0.049052040050207864,0.4225625996733881,0.49349870103786636,40.04
94,120,5,100,0.4,0.45089698120582755,0.047987287078861546,0.42203781889947767,0.49616345657915045,64.15
95,100,6,100,0.7,0.45166432721127386,0.045330406754492014,0.424696700755354,0.492898798092663,98.57
96,120,5,100,0.7,0.45127184244852614,0.04641185846491354,0.4213630748230216,0.49744683890830393,99.36
97,100,6,100,0.4,0.45235174256090743,0.04534657830572963,0.425243746392154,0.49425397738322696,66.59
98,120,5,100,0.3,0.4493150968235053,0.05035741542659539,0.4226505906690427,0.4924872094107637,52.4
99,80,6,80,0.7,0.4509366623281414,0.04509702444681219,0.42515577109883973,0.49048101755202433,90.14
100,120,5,100,log2,0.4501082932765156,0.049052040050207864,0.4225625996733881,0.49349870103786636,41.0
101,80,6,80,0.4,0.45212928008162273,0.044589630065463584,0.42509967996439124,0.49367537464642625,51.23
102,100,6,100,0.3,0.45158186048812327,0.047943980997047005,0.42431587700569506,0.49424229130468256,46.96
103,150,4,100,0.7,0.449549453337822,0.047477885770955235,0.41772777635129305,0.49825455941441604,108.09
104,120,4,80,0.5,0.44830892419031754,0.048423838878214526,0.4198342772639204,0.4935389297729376,59.39
105,120,4,80,0.4,0.44933846655859294,0.04896602831458589,0.42115787831067664,0.4946973639762734,52.14
106,80,6,80,0.5,0.4530401755845455,0.04533513057844975,0.4254313938736295,0.49532542781859074,54.66
107,120,4,80,sqrt,0.44799264118534765,0.05067976391675198,0.4215873592940885,0.49091052319130746,34.43
108,120,5,100,0.6,0.4519650235309869,0.046513982031143646,0.42129113044797456,0.49909815226133986,83.76
109,120,4,80,0.6,0.44860746316133043,0.047217037989326714,0.4189731558992795,0.49433912286202164,69.92
110,150,4,100,0.5,0.4488833725158021,0.04867934058318106,0.4200844652855939,0.49464505010563276,72.12
111,100,6,100,log2,0.4527944836811926,0.0476890177207552,0.4237980930176189,0.4968820076718714,37.28
112,150,4,100,log2,0.44801248516739667,0.050450333012991705,0.42112093075327167,0.49142521857112803,42.45
113,80,5,65,sqrt,0.44942786884872,0.05020234231959487,0.42230793530078037,0.49281016564753044,26.85
114,100,4,65,0.7,0.44926683667789263,0.04745619421244536,0.41802933388237984,0.49713758168322614,65.35
115,80,5,65,0.4,0.4511464319774574,0.04749022295700857,0.4226804745111606,0.49606921847003294,42.05
116,80,5,65,0.7,0.4518361168650225,0.046283639104754845,0.4215749631158367,0.49868074288161707,63.67
117,100,4,65,sqrt,0.4467942341727541,0.05055133554941088,0.42148489834623293,0.4878534242028909,28.99
118,80,5,65,0.6,0.451433247646244,0.04675059030942103,0.4214883594999647,0.4975996350253643,58.3
119,100,4,65,log2,0.4467942341727541,0.05055133554941088,0.42148489834623293,0.4878534242028909,29.64
120,100,4,65,0.3,0.4484201298291094,0.04920294989582336,0.4214579528727356,0.49168648911933666,34.54
121,80,5,65,0.3,0.4499954615820775,0.050036316630084045,0.4221337031755226,0.49457593576695985,32.27
122,80,5,65,log2,0.44942786884872,0.05020234231959487,0.42230793530078037,0.49281016564753044,26.63
123,80,5,65,0.5,0.4500350033018162,0.047290564727259,0.42241550563108543,0.4934103095112114,47.09
124,100,4,65,0.5,0.4481192193057829,0.04874125668854119,0.4194014058832044,0.4936825162371045,49.88
125,100,4,65,0.4,0.44932814548613537,0.04813740877108033,0.4209675462773824,0.4947010294654578,44.7
126,100,4,65,0.6,0.44859640408935364,0.046968288126442506,0.419124731282141,0.4941112513904775,59.79
127,100,5,80,0.5,0.45015985130007075,0.0468538485187493,0.4224111320487053,0.49391289681813255,57.99
128,100,5,80,sqrt,0.45012322509860053,0.04970505584544082,0.42269767851123535,0.493595533558271,33.28
129,100,5,80,0.6,0.4512001903190505,0.047046603610570524,0.42135461432503796,0.4973891453121597,72.58
130,100,5,80,0.3,0.4493764972889858,0.04967510448280264,0.4224982917369372,0.4925917758709427,39.39
131,100,5,80,0.4,0.4506235899828335,0.04797684875834966,0.4221814577717781,0.4954103753279413,52.67
132,100,5,80,0.7,0.45121205024465727,0.046476901802547925,0.42126186811058747,0.49769718688066045,77.62
133,100,5,80,log2,0.45012322509860053,0.04970505584544082,0.42269767851123535,0.493595533558271,33.16
134,80,8,100,0.5,0.4551104243938722,0.04173427926692112,0.42752551509717146,0.49433627721009604,67.22
135,80,4,50,sqrt,0.44787814807312154,0.05034134654457105,0.4213224596137956,0.49052236762686396,24.23
136,80,8,100,0.3,0.45372132502295626,0.04371019236393366,0.4270245336784031,0.4926253166050891,44.09
137,80,4,50,log2,0.44787814807312154,0.05034134654457105,0.4213224596137956,0.49052236762686396,23.61
138,80,4,50,0.7,0.4495190141986102,0.04755069644444914,0.4180832978513628,0.4975854682891562,52.49
139,80,4,50,0.6,0.44903271627888747,0.046830026003053644,0.4194710938252877,0.4948208487788818,48.46
140,80,8,100,log2,0.4548320896707426,0.04310356400218906,0.42650565722898054,0.49570259075263,36.04
141,80,4,50,0.5,0.448184923317499,0.04863981665523831,0.42025261188242535,0.49286747478792997,40.2
142,80,8,100,0.4,0.45511367707177797,0.04102366691309964,0.42701340332243837,0.49499516016560063,62.41
143,80,4,50,0.4,0.44894512211512116,0.04759078741714516,0.4204689084631351,0.49400613387611403,37.39
144,80,4,50,0.3,0.4476493356640171,0.04933043955085127,0.42164829136950044,0.4897251497688244,27.68
145,80,8,100,0.7,0.45465554999866437,0.038656951512853394,0.42625883949209775,0.49364818911780706,92.71
146,80,8,100,sqrt,0.4548320896707426,0.04310356400218906,0.42650565722898054,0.49570259075263,36.16
147,80,8,100,0.6,0.45508107826684335,0.03892234683224098,0.42659210195611746,0.49431295072602105,83.54
148,80,7,80,sqrt,0.4540147313850281,0.04442618582689837,0.4249018299073028,0.4964676877620347,33.0
149,100,7,100,log2,0.4525510552523936,0.043980725914550295,0.42458854068966956,0.49306749497333496,41.33
150,80,7,80,log2,0.4540147313850281,0.04442618582689837,0.4249018299073028,0.4964676877620347,33.25
151,80,7,80,0.4,0.4526625087994113,0.04495963685304997,0.4267077528576543,0.49174898000581513,54.34
152,80,7,80,0.6,0.45361932061288845,0.041087734049193296,0.42556709530854187,0.49351118946904726,76.32
153,80,7,80,0.3,0.45369498970762806,0.04474715659654306,0.4251228126637341,0.4959844206657748,40.48
154,100,7,100,0.5,0.45398391812711053,0.04272224897533006,0.42680042982558497,0.49437747821269956,77.1
155,80,7,80,0.5,0.45409994335262915,0.04287607487527589,0.4265077857539875,0.4949883972717686,61.87
156,100,7,100,0.4,0.4528667823252638,0.0439849022224733,0.42646531250176417,0.492536908907902,68.67
157,100,7,100,0.6,0.4532294338285895,0.04161699892831103,0.4262148434322263,0.49224692883136456,95.48
158,100,7,100,0.3,0.45367104378357154,0.04460789054334894,0.4248124483282923,0.4964981925706873,50.16
159,100,7,100,0.7,0.4527810256610274,0.041162056126218004,0.42573371357815937,0.49133866110965635,102.99
160,100,7,100,sqrt,0.4525510552523936,0.043980725914550295,0.42458854068966956,0.49306749497333496,41.23
161,80,7,80,0.7,0.45320947207937845,0.04212361381524197,0.4260949916862078,0.4925010104112463,82.89
162,80,9,100,0.7,0.45442875185286125,0.037841125449968135,0.4258007846704409,0.49281122247101017,100.63
163,180,4,100,0.5,0.4490489701908541,0.04800734565983237,0.42012540097259016,0.49459017714839104,86.9
164,120,6,100,0.3,0.45154318340096616,0.047884096652276026,0.4241710484127177,0.49417655385190545,52.63
165,80,9,100,0.3,0.45387093036098153,0.041167816403761284,0.42697807500837576,0.49168215791144887,48.09
166,180,4,100,0.6,0.4488117339879925,0.04655713879130299,0.4188521940084823,0.4947908984103531,104.16
167,180,4,100,log2,0.4474225874573217,0.050599891828903315,0.4213716440239107,0.4897887037115888,51.2
168,80,9,100,0.4,0.4538155399049975,0.04031705244485567,0.4275125250389304,0.49050351733377695,65.14
169,120,6,100,0.5,0.45289073413517433,0.04565764541199495,0.4252832887432948,0.49554261809259775,78.15
